Ağırlık(kg),İşlemci Arttırılmış Frekans(GHz),İşlemci Çekirdek Sayısı,İşlemci Temel Frekans(GHz),İşlemci Önbelleği(MB),Ram(Bellek) Boyutu(GB),Ram(Bellek) Frekansı(MHz),Ekran Boyutu(inç),Harici Ekran Kartı Belleği(GB),İşlemci Skoru,Medyan Fiyat,Ekran Kartı Skoru
0.027977099236641222,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.02836547102472591,0.1746450973918785
0.03561068702290076,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.19265625,0.14814814814814814,,0.0035589519650655018,0.0044226769712686475,0.1746450973918785
0.027595419847328245,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.14814814814814814,,0.015101528384279476,0.030483734305594784,0.1746450973918785
0.05087786259541984,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.024109687524071173,0.1746450973918785
0.031793893129770996,0.0012903225806451613,0.0,0.2978723404255319,0.09375,0.0078125,0.234375,0.0888888888888889,0.125,0.018410480349344976,0.015899812565794542,0.14081824415267793
0.02950381679389313,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.14814814814814814,,0.015101528384279476,0.030560762061262743,0.1746450973918785
0.031793893129770996,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.0035589519650655018,0.0070544586232572475,0.1746450973918785
0.03561068702290076,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.010726114976763294,0.1746450973918785
0.027977099236641222,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.359375,0.14814814814814814,,0.034101528384279475,0.03818650987239069,
,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0546875,0.359375,0.0888888888888889,,0.015101528384279476,0.034014173107042904,0.1746450973918785
0.031793893129770996,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.0029923580786026197,0.024064754666598197,0.1746450973918785
0.027977099236641222,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.0035589519650655018,0.0022402238940098084,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.030438801448121805,
0.01919847328244275,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,,0.0888888888888889,,0.015101528384279476,0.03208206023570493,0.1746450973918785
0.031793893129770996,0.0009999999999999998,0.0,,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.01620150460882738,0.1746450973918785
0.016526717557251908,,0.125,0.2127659574468085,0.0625,0.0078125,0.109375,0.0888888888888889,,0.013852620087336245,0.0070544586232572475,0.1746450973918785
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0390625,0.359375,0.14814814814814814,,0.009610262008733625,0.02310190772074871,
0.027595419847328245,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,,0.14814814814814814,,0.01124235807860262,0.026247207743857037,0.1746450973918785
0.033702290076335885,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.234375,0.14814814814814814,,0.0035589519650655018,0.02846175571931086,
0.03561068702290076,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.234375,0.14814814814814814,,0.011120087336244542,0.018929570955400928,0.1746450973918785
