İşlemci,İşlemci Serisi,İşlemci Modeli,Jenerasyon,Arttırılmış Frekans(GHz),Çekirdek,Temel Frekans(GHz),uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,İşlemci Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
Ryzen 9,AMD Ryzen 9,AMD Ryzen 9 3900X,3.Nesil,4.6,12.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-9-3900x-3-8-4-6-ghz-am4-islemci-fiyatlari,299259608",AMD Ryzen 9 3900X 3.80 GHz 12 Çekirdekli İşlemci,6998.0,8249.0,32.738,0,237,180,14
Core i5,Intel Core,Intel Core i5-13400,11.Nesil,4.4,6.0,2.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-11400-2-6-ghz-12mb-lga1200p-islemci-fiyatlari,772528431",Intel Core i5-11400 2.6 Ghz 12MB LGA1200P İşlemci,3190.11,3696.0,26.205,6,7,382,316
Core i7,Intel Core,Intel Core i7-13700K,10.Nesil,5.1,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700k-3-80-ghz-8-cekirdek-16mb-onbellek-soket-1200-islemci-fiyatlari,573307302",Intel Core i7-10700K 3.80 Ghz 8 Çekirdek 16MB Önbellek Soket 1200 İşlemci,6089.0,8734.0,47.03,0,151,65,241
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5800X3D,5.Nesil,4.5,8.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5800x3d-3-4-ghz-am4-100-mb-cache-105-w-islemci-fiyatlari,2037865664",AMD Ryzen 7 5800X3D 3.4 GHz AM4 100 MB Cache 105 W İşlemci,7539.0,8404.0,27.86,0,17,172,236
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600G,5.Nesil,4.4,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600g-3-9ghz-16mb-am4-65w-islemci-fiyatlari,908658650",AMD Ryzen 5 5600G 3.9GHZ 16MB AM4 65W İşlemci,2798.99,3256.0,19.861,0,76,15,17
Ryzen 9,AMD Ryzen,AMD Ryzen 9 5900X,5.Nesil,4.8,12.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-9-5900x-3-7ghz-64mb-onbellek-12-cekirdek-am4-7nm-islemci-novga-fiyatlari,1030889342",AMD Ryzen 9 5900X 3.7GHZ 64MB Önbellek 12 Çekirdek AM4 7nm İşlemci Novga,7915.79,9115.0,39.272,0,38,174,304
Intel,Core i3,Intel Core i3-13100,10.Nesil,4.3,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-10100-3-6ghz-lga1200-islemci-fiyatlari,592109850",Intel Core i3 10100 3.6GHz LGA1200 İşlemci,2216.9,2640.0,14.237,3,5,225,203
Ryzen 3,AMD Ryzen 3,AMD Ryzen 3 3200G,3.Nesil,4.0,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-3200g-3-6-ghz-am4-islemci-fiyatlari,298119222",AMD Ryzen 3 3200G 3.60 GHz 4 Çekirdekli İşlemci,1863.9,2036.0,7.177,3,36,228,243
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5700X,5.Nesil,4.6,8.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5700x-4-60-ghz-8-cekirdek-36-mb-am4-7-nm-islemci-fiyatlari,1503307675",AMD Ryzen 7 5700X 4.60 Ghz 8 Çekirdek 36 MB AM4 7 nm İşlemci,4569.99,4922.0,26.751,0,0,164,236
Ryzen 7,AMD Ryzen 7,AMD Ryzen 7 3700X,3.Nesil,4.4,8.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-3700x-3-6-4-4-ghz-am4-islemci-fiyatlari,300030167",AMD Ryzen 7 3700X 3.60 GHz 8 Çekirdekli İşlemci,4998.0,7845.0,22.689,0,34,208,171
Core i5,Intel Core,Intel Core i5-12400F,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12400f-2-50-ghz-turbo-4-40-ghz-18-mb-cache-lga1700-12-nesil-islemci-fiyatlari,1291115019",Intel Core i5-12400F 2.50 GHZ Turbo 4.40 GHZ 18 MB Cache LGA1700 12.Nesil İşlemci,3544.82,3900.0,19.73,6,46,353,140
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600G,5.Nesil,4.4,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600g-3-90ghz-6-cekirdek-19mb-onbellek-soket-am4-islemci-fiyatlari,891518482",AMD Ryzen 5 5600G 3.90GHz 6 Çekirdek 19MB Önbellek Soket AM4 İşlemci,2914.6,2975.0,19.861,0,45,17,31
Core i3,İntel Core i3,Intel Core i9-13900F,9.Nesil,4.2,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-i3-9100f-dort-cekirdek-3-60-ghz-kutulu-islemci-fiyatlari,287807014",Intel i3-9100F 360 GHz4 Çekirdekli İşlemci,1999.99,2020.0,58.554,3,79,253,3
Core i5,İntel Core i5,Intel Core i5-13400,7.Nesil,3.5,4.0,3.0,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-7400-3ghz-1151pin-islemci-fiyatlari,37670978",Intel Core i5 7400 1151Pin 3GHz 4 Çekirdekli İşlemci,2248.22,2295.0,26.205,3,42,274,9
Core i5,İntel Core i5,Intel Core i5-13600K,,4.6,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-9600k-3-7-ghz-1151v2pin-islemci-fiyatlari,173873594",Intel Core i5-9600K 3.70 GHz 1151v2Pin 6 Çekirdekli İşlemci,5997.0,5998.0,38.459,0,26,255,93
Core i5,İntel Core i5,Intel Core i5-13600,6.Nesil,3.6,4.0,3.2,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-6500-3-2ghz-1151pin-islemci-fiyatlari,14666357",Intel Core i5 6500 3.20 GHz 1151Pin 6 Çekirdekli İşlemci,1599.0,1899.0,32.185,3,251,249,9
Ryzen 3,AMD Ryzen 3,AMD Ryzen 3 2200G,,3.5,4.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-2200g-3-53-7-ghz-am4-islemci-fiyatlari,68827312",AMD Ryzen 3 2200G 3.7GHZ 4 Çekirdekli AM4 İşlemci,1899.0,2109.0,6.773,3,19,291,384
Core i7,Intel Core,Intel Core i7-12700K,12.Nesil,5.0,12.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-i7-12700k-2-7-ghz-5-0-ghz-25mb-lga1700p-islemci-fiyatlari,991263771",Intel i7-12700K 2.7 GHz 5.0 GHz 25MB LGA1700P İşlemci,8197.87,9275.0,34.758,0,135,187,111
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5700G,5.Nesil,4.6,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5700g-3-80ghz-8-cekirdek-20mb-onbellek-soket-am4-islemci-fiyatlari,891518483",AMD Ryzen 7 5700G 3.80GHz 8 Çekirdek 20MB Önbellek Soket AM4 İşlemci,4680.0,4730.0,24.612,0,340,101,340
Core i5,Intel Core,Intel Core i5-12400,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12400-2-50-ghz-turbo-4-40-ghz-18-mb-cache-lga1700-12-nesil-islemci-fiyatlari,1291115053",Intel Core i5-12400 2.50 GHZ Turbo 4.40 GHZ 18 MB Cache LGA1700 12.Nesil İşlemci,3699.9,4303.0,19.532,6,37,335,72
Ryzen 5,AMD Ryzen,AMD Ryzen 5 4500,4.Nesil,4.1,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-4500-mpk-4-10-ghz-6-cekirdek-11-mb-am4-7-nm-islemci-fiyatlari,1503743268",AMD Ryzen 5 4500 MPK 4.10 Ghz 6 Çekirdek 11 MB AM4 7 nm İşlemci,1669.44,1782.0,16.19,3,158,307,52
Core i9,Intel Core,Intel Core i9-12900K,12.Nesil,5.2,16.0,3.2,"https://www.cimri.com/islemci/en-ucuz-intel-cm8071504549230-core-i9-12900k-2-40-5-20-ghz-14-mb-1700p-tray-islemci-fiyatlari,1024553098",Intel CM8071504549230 Core i9-12900K 2.40-5.20 GHz 14 MB 1700P Tray İşlemci,11430.83,12299.0,41.589,2,161,92,356
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600X,5.Nesil,4.6,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600x-tray-3-7-ghz-35mb-am4-65-w-islemci-fiyatlari,1020841090",Amd Ryzen 5 5600X Tray 3.7 Ghz 35MB Am4 65 W İşlemci,3902.64,4399.0,21.931,0,315,2,342
