Bellek Boyutu(GB),İşlemci Üreticisi,Ekran Kartı Modeli,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ekran Kartı Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-ph-rtx3060-12g-12gb-gddr6-192-bit-1807mhz-oc-1xhdmi-3xdp-rgb-ekran-karti-fiyatlari,816783096",Asus Geforce PH-RTX3060-12G 12GB Gddr6 192 Bit 1807MHZ Oc 1xhdmı 3xdp Rgb Ekran Kartı,9970.89,10556.0,17.156,2,242,55,503
12.0,AMD,Radeon RX 6750 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-rog-strix-rx6750xt-o12g-rx6750-xt-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,1688972405",Asus ROG-STRIX-RX6750XT-O12G RX6750 XT 12 GB GDDR6 192 Bit Ekran Kartı,12336.0,14023.0,21.532,2,75,351,157
12.0,AMD,Radeon RX 6750 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-dual-radeon-rx-6750-xt-oc-12-gb-gddr6-192-bit-dx12-gaming-ekran-karti-fiyatlari,1688120339",Asus Dual Radeon RX 6750 XT OC 12 GB GDDR6 192 Bit DX12 Gaming Ekran Kartı,11999.0,12824.0,21.532,2,262,539,49
24.0,NVIDIA,GeForce RTX 3090,"https://www.cimri.com/ekran-kartlari/en-ucuz-zotac-geforce-rtx-3090-24gb-trinity-zt-a30900d-10p-gddr6x-384bit-ekran-karti-fiyatlari,676497743",Zotac GeForce RTX 3090 24GB TRINITY ZT-A30900D-10P GDDR6X 384bit Ekran Kartı,31999.0,34603.0,26.859,1,233,269,543
1.0,NVIDIA,GeForce GT 1030,"https://www.cimri.com/ekran-kartlari/en-ucuz-afox-geforce-g210-1-gb-af210-1024d3l8-ddr3-64bit-dvi-hdmi-vga-fiyatlari,1182957391",Afox Geforce G210 1 GB AF210-1024D3L8 DDR3 64Bit DVI HDMI VGA,785.0,884.0,2.507,0,423,418,314
12.0,AMD,Radeon RX 6700 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-radeon-rx-6700-xt-oc-tuf-rx6700xt-o12g-gaming-12gb-192bit-2514mhz-gddr6-pci-express-4-0-ekran-karti-fiyatlari,778524317",Asus Radeon RX 6700 XT OC TUF-RX6700XT-O12G-GAMING 12GB 192Bit 2514MHz GDDR6 PCI-Express 4.0 Ekran Kartı,12082.17,17252.0,19.6,2,394,75,36
12.0,AMD,Radeon RX 6750 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-rog-strix-radeon-rx-6750-xt-oc-12-gb-gddr6-192-bit-dx12-gaming-ekran-karti-fiyatlari,1688120286",Asus ROG Strix Radeon RX 6750 XT OC 12 GB GDDR6 192 Bit DX12 Gaming Ekran Kartı,12979.76,13164.0,21.532,2,32,20,354
4.0,NVIDIA,,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-phoenix-nvidia-geforce-gtx-1050-ti-4gb-128bit-ph-gtx1050ti-4g-ekran-karti-fiyatlari,40558483",Asus Phoenix Nvidia GeForce GTX 1050 Ti 4GB 128Bit PH-GTX1050TI-4G Ekran Kartı,4343.04,4520.0,,0,301,60,92
4.0,NVIDIA,GeForce GTX 1650,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-gtx-1650-4gb-1620mhz-gddr6-dx12-pci-express-3-0-ekran-karti-ph-gtx1650-4gd6-p-fiyatlari,647862326",Asus GeForce GTX 1650 4GB 1620MHz GDDR6 DX(12) PCI-Express 3.0 Ekran Kartı (PH-GTX1650-4GD6-P),4348.89,4859.0,7.838,0,293,317,205
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-nvidia-geforce-rtx-3060-ti-tuf-gaming-v2-oc-tuf-rtx3060ti-o8g-v2-gaming-8-gb-gddr6-256-bit-ekran-karti-fiyatlari,869740745",Asus NVIDIA GeForce RTX 3060 Ti TUF Gaming V2 OC TUF-RTX3060TI-O8G-V2-GAMING 8 GB GDDR6 256 Bit Ekran Kartı,11807.4,15061.0,20.544,2,61,328,234
