Temel Frekans(GHz),Çekirdek,Arttırılmış Frekans(GHz),Medyan Fiyat,İşlemci Skoru
0.45999999999999996,0.2916666666666667,0.5,0.04905065210797695,0.034058461538461544
0.42000000000000004,0.375,0.5689655172413793,0.042966333030027296,0.04100461538461539
0.27999999999999997,0.9583333333333334,0.7241379310344827,0.08498028510767364,0.09069538461538461
0.18,0.20833333333333334,0.48275862068965525,0.02602972399150743,0.02830153846153846
0.4,0.20833333333333334,0.4482758620689655,0.013557779799818016,0.028261538461538463
0.42000000000000004,0.375,0.5689655172413793,0.042887473460721866,0.040440000000000004
0.1,0.4583333333333333,0.5689655172413793,0.04505914467697907,0.046169230769230775
0.43999999999999995,0.2916666666666667,0.5172413793103448,0.036390658174097666,0.03612153846153846
0.25999999999999995,0.20833333333333334,0.4310344827586206,0.023306035790112225,0.0385676923076923
0.23999999999999994,0.20833333333333334,0.5517241379310345,0.030142553836821354,0.04776769230769231
0.4,0.125,0.3448275862068966,0.01613588110403397,0.020155384615384617
0.4,0.2916666666666667,0.5862068965517241,0.038034576888080075,0.0697476923076923
0.27999999999999997,0.20833333333333334,0.5172413793103448,0.03203518350015165,0.028901538461538465
0.38,0.5416666666666666,0.603448275862069,0.044173491052471946,0.057321538461538465
0.18,0.2916666666666667,0.5689655172413793,0.03868971792538672,0.05983384615384615
0.4,0.125,0.4482758620689655,0.02399150743099788,0.020155384615384617
0.42000000000000004,0.125,0.48275862068965525,0.01062177737336973,0.021910769230769234
0.3,0.20833333333333334,0.5,0.021534728541097968,0.048086153846153855
0.4,0.125,0.46551724137931033,0.009523809523809525,0.021910769230769234
0.38,0.5416666666666666,0.603448275862069,0.04874127995147103,0.05742
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.023318168031543827,0.031992307692307695
0.36,0.625,0.6551724137931035,0.06562329390354868,0.07060615384615385
0.27999999999999997,0.041666666666666664,0.24137931034482757,0.0009766454352441614,0.413636923076923
0.32,0.625,0.6206896551724138,0.07452835911434638,0.06197692307692307
0.43999999999999995,0.2916666666666667,0.41379310344827586,0.023645738550197148,0.02444
0.25999999999999995,0.2916666666666667,0.5517241379310345,0.037470427661510465,0.05983384615384615
0.33999999999999997,0.041666666666666664,0.29310344827586204,0.005047012435547467,0.1259446153846154
0.33999999999999997,0.125,0.46551724137931033,0.018222626630269943,0.01949692307692308
0.38,0.2916666666666667,0.6379310344827586,0.04751592356687898,0.0901923076923077
0.38,0.041666666666666664,0.3275862068965517,0.007667576584774037,0.009944615384615383
0.1,0.4583333333333333,0.5689655172413793,0.046806187443130115,0.046163076923076925
0.36,0.125,0.3793103448275862,0.016196542311191994,0.048086153846153855
0.43999999999999995,0.2916666666666667,0.5172413793103448,0.029008189262966333,0.036116923076923074
0.21200000000000002,0.125,0.27586206896551724,0.0022747952684258415,0.048086153846153855
