Ekran Boyutu,İşletim Sistemi,Ekran Çözünürlüğü,Ekran Panel Tipi,Ekran Çözünürlük Biçimi,Ağırlık,Ram(Bellek) Boyutu,İşlemci Modeli,İşlemci Arttırılmış Frekans,İşlemci Çekirdek Sayısı,İşlemci Markası,İşlemci Temel Frekans,İşlemci Önbelleği,Ram(Bellek) Türü,SSD Boyutu,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ram(Bellek) Frekansı,Sabit Disk(HDD) Boyutu,Harici Ekran Kartı Belleği,Harici Ekran Kartı Modeli
15.6 inç,,1920x1080 Piksel,LED (IPS),FHD,1.70 kg,16 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-gen-2-20td004dtx042-i5-1135g7-16-gb-ram-1-tb512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1032521693","Lenovo ThinkPad E15 Gen 2 20TD004DTX042 i5-1135G7 16 GB Ram 1 TB+512 GB SSD 15.6"" Dizüstü Bilgisayar",21570.97,22408,3200 MHz,,Yok,Yok
14 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,32 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,1 TB-256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ta0053tx013-thinkpad-e14-g2-i7-1165g7-32-gb-ram-1-tb256-gb-ssd-mx450-dos-14-dizustu-bilgisayar-fiyatlari,1108404573","Lenovo 20TA0053TX013 ThinkPad E14 G2 i7-1165G7 32 GB Ram 1 TB+256 GB SSD MX450 Dos 14"" Dizüstü Bilgisayar",23999.99,27418,3200 MHz,Yok,2 GB,NVIDIA GeForce MX450
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,16 GB,i7-1165G7,2.80 GHz,4 Çekirdek,Intel,1.20 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20tes294tx028-i7-1165g7-16-gb-512-gb-ssd-mx450-windows-10-pro-15-6-inc-full-hd-laptop-notebook-fiyatlari,969721072",Lenovo ThinkPad E15 G2 20TES294TX028 i7-1165G7 16 GB 512 GB SSD MX450 Windows 10 Pro 15.6 inç Full HD Laptop - Notebook,22801.94,24438,,Yok,2 GB,MX450
14.0 inç,Windows,1920x1080 Piksel,IPS,Full HD,1.64 kg,8 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20tbs6t7rr40-thinkpad-e14-g2-intel-core-i7-1165g7-8-gb-512-gb-ssd-14-inc-windows-11-pro-full-hd-dizustu-bilgisayar-fiyatlari,2069881218",Lenovo 20TBS6T7RR40 ThinkPad E14 G2 Intel Core i7-1165G7 8 GB 512 GB SSD 14 inç Windows 11 Pro Full Hd Dizüstü Bilgisayar,23030.38,23940,3200 MHz,,,
15.6 inç,,1920x1080 Piksel,LED (IPS),FHD,1.70 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-gen-2-20td004dtx025-i5-1135g7-8-gb-ram-1-tb512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1032508512","Lenovo ThinkPad E15 Gen 2 20TD004DTX025 i5-1135G7 8 GB Ram 1 TB+512 GB SSD 15.6"" Dizüstü Bilgisayar",20467.91,21113,3200 MHz,,Yok,Yok
15.6 inç,,1920x1080 Piksel,IPS,Full HD,1.7 kg,8 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20td004htx028-i7-1165g7-8-gb-ram-512-gb-ssd-mx450-15-6-dizustu-bilgisayar-fiyatlari,1762812784","Lenovo ThinkPad E15 G2 20TD004HTX028 i7-1165G7 8 GB Ram 512 GB SSD MX450 15.6"" Dizüstü Bilgisayar",20689.61,22092,3200 MHz,,2 GB,NVIDIA GeForce MX450
15.6 inç,,1920x1080 Piksel,IPS,Full HD,1.7 kg,16 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20td004htx041-i7-1165g7-16-gb-ram-256-gb-ssd-mx450-15-6-dizustu-bilgisayar-fiyatlari,1762813249","Lenovo ThinkPad E15 G2 20TD004HTX041 i7-1165G7 16 GB Ram 256 GB SSD MX450 15.6"" Dizüstü Bilgisayar",21144.82,22578,3200 MHz,,2 GB,NVIDIA GeForce MX450
14.0 inç,Windows,1920x1080 Piksel,IPS,Full HD,1.64 kg,16 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20tbs6t7rr38-intel-core-i7-1165g7-16-gb-256-gb-ssd-14-inc-windows-11-pro-full-hd-dizustu-bilgisayar-fiyatlari,2069878827",Lenovo 20TBS6T7RR38 Intel Core i7-1165G7 16 GB 256 GB SSD 14 inç Windows 11 Pro Full Hd Dizüstü Bilgisayar,23098.98,24012,3200 MHz,,,
15.6 inç,,1920x1080 Piksel,IPS,Full HD,1.7 kg,16 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20td004htx047-i7-1165g7-16-gb-ram-512-gb-ssd-mx450-15-6-dizustu-bilgisayar-fiyatlari,1762813066","Lenovo ThinkPad E15 G2 20TD004HTX047 i7-1165G7 16 GB Ram 512 GB SSD MX450 15.6"" Dizüstü Bilgisayar",21713.84,23186,3200 MHz,,2 GB,NVIDIA GeForce MX450
15.6 İnç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.7 kg,8 GB,1165G7,4.70 GHz,4 Çekirdek,Intel,,12 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20td004htx016-thinkpad-e15-gen-2-intel-core-i7-1165g7-8-gb-2-tb-ssd-feedos-mx450-15-6-dizustu-bilgisayar-fiyatlari,1763230923",Lenovo 20TD004HTX016 Thinkpad E15 Gen 2 Intel Core I7 1165G7 8 GB 2 Tb SSD Feedos MX450 15.6 Dizüstü Bilgisayar,22624.28,24158,3200 MHz,Yok,2 GB,NVIDIA GeForce MX450
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,32 GB,i7-1165G7,2.80 GHz,4 Çekirdek,Intel,1.20 GHz,12 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20tes294tx013-i7-1165g7-32-gb-1-tb-ssd-256-gb-mx450-freedos-15-6-inc-full-hd-laptop-notebook-fiyatlari,969615610",Lenovo ThinkPad E15 G2 20TES294TX013 i7-1165G7 32 GB 1 TB SSD 256 GB MX450 Freedos 15.6 inç Full HD Laptop - Notebook,23009.22,24660,,Yok,2 GB,MX450
14 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,8 GB,Intel Core i7-1165G7,4.7 GHz,4,Intel,,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20tbs6t3tt40-thinkpad-e14-gen2-intel-core-i7-1165g7-8gb-512-gb-windows-11-pro-fhd-ips-tasinabilir-bilgisayar-fiyatlari,1843659178",Lenovo 20TBS6T3TT40 Thinkpad E14 Gen2 Intel Core i7-1165G7 8GB 512 GB Windows 11 Pro FHD IPS Taşınabilir Bilgisayar,24265.27,25222,3200 MHz,Yok,,
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,8 GB,i7-1165G7,2.80 GHz,4 Çekirdek,Intel,1.20 GHz,12 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20tes294tx009-i7-1165g7-8-gb-1-tb-ssd-256-gb-mx450-freedos-15-6-inc-full-hd-laptop-notebook-fiyatlari,969615554",Lenovo ThinkPad E15 G2 20TES294TX009 i7-1165G7 8 GB 1 TB SSD 256 GB MX450 Freedos 15.6 inç Full HD Laptop - Notebook,21765.49,23327,,Yok,2 GB,MX450
15.6 inç,Windows,,,,,16 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,,8 MB,,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20tds0kutx041-thinkpad-e15-g2-i5-1135g7-16-gb-ram-1-tb256-gb-ssd-mx450-w10p-15-6-dizustu-bilgisayar-fiyatlari,1114512304","Lenovo 20TDS0KUTX041 ThinkPad E15 G2 i5-1135G7 16 GB Ram 1 TB+256 GB SSD MX450 W10P 15.6"" Dizüstü Bilgisayar",20339.0,22875,,,,
15.6 inç,Windows,,,,,32 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,,8 MB,,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20tds0kutx044-thinkpad-e15-g2-i5-1135g7-32-gb-ram-1-tb512-gb-ssd-mx450-w10p-15-6-dizustu-bilgisayar-fiyatlari,1114512392","Lenovo 20TDS0KUTX044 ThinkPad E15 G2 i5-1135G7 32 GB Ram 1 TB+512 GB SSD MX450 W10P 15.6"" Dizüstü Bilgisayar",21741.77,25089,,,,
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,8 GB,i7-1165G7,2.80 GHz,4 Çekirdek,Intel,1.20 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20tes294tx025-i7-1165g7-8-gb-512-gb-ssd-mx450-windows-10-pro-15-6-inc-full-hd-laptop-notebook-fiyatlari,969721043",Lenovo ThinkPad E15 G2 20TES294TX025 i7-1165G7 8 GB 512 GB SSD MX450 Windows 10 Pro 15.6 inç Full HD Laptop - Notebook,22387.36,23994,,Yok,2 GB,MX450
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.7 kg,40 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ve00fqtx054-thinkbook-15-g2-intel-core-i5-1135g7-40-gb-ram-500-gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2074630174","Lenovo 20VE00FQTX054 Thinkbook 15 G2 Intel Core i5-1135G7 40 GB Ram 500 GB SSD Windows 11 Home 15.6"" Fhd Taşınabilir Bilgisayar",21080.51,21728,3200 MHz,Yok,Yok,Yok
17.3 inç,DOS,1920x1080 Piksel,LED (lPS),Full HD,2.20 kg,20 GB,Intel Core i7-1065G7,3.90 GHz,4 Çekirdek,Intel,1.30 GHz,8 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82gx0098tx040-v17-intel-core-i7-1065g7-20gb-ram-1tb-ssd-w10p-17-3-tasinabilir-bilgisayar-fiyatlari,1050725656","Lenovo 82GX0098TX040 V17 Intel Core i7-1065G7 20GB Ram 1TB SSD W10P 17.3"" Taşınabilir Bilgisayar",21041.54,22213,3200 MHz,Yok,Yok,Yok
17.3 İnç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,2.08 kg,32 GB,Intel Core i7-1255U,4.70 GHz,10 Çekirdek,Intel,3.50 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-17-cn2000nt-6z254eaa2-intel-core-i7-1255u-17-3-fiyatlari,2101208965",HP 17-CN2000NT 6Z254EAA2 Intel Core i7 1255U 17.3,22448.11,22589,3200 MHz,,2 GB,NVIDIA GeForce MX550
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,2-4 kg,40 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-e15-g3-20yg004mtx038-amd-ryzen-7-5700u-40gb-ram-1tb-ssd-freedos-15-6-inc-laptop-notebook-fiyatlari,965712228",Lenovo E15 G3 20YG004MTX038 AMD Ryzen 7 5700U 40GB Ram 1TB SSD Freedos 15.6 inç Laptop - Notebook,23761.17,25372,,Var,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.98 kg,8 GB,AMD Ryzen 7 5800H,4.40 GHz,8 Çekirdek,AMD,3.20 GHz,16 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-pavilion-15-ec2033nt-4g8u0ea01-ryzen7-5800h-8gb-1tbssd-gtx1650-15-6-fullhd-freedos-tasinabilir-bilgisayar-fiyatlari,2086698000","Hp Pavilion 15-EC2033NT 4G8U0EA01 RYZEN7 5800H 8GB 1TBSSD Gtx1650 15.6"" Fullhd Freedos Taşınabilir Bilgisayar",20599.0,20859,3200 MHz,Yok,4 GB,NVIDIA GeForce GTX 1650
14 inç,Windows 10 Home,1920x1080,LED (IPS),FHD,1.64 kg,8 GB,Intel Core i7-1165G7,4.70 GHz,4,Intel,2.80 GHz,12 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g2-20ta0053tx-i7-1165g7-8-gb-256-gb-ssd-mx450-windows-10-home-14-inc-full-hd-laptop-notebook-fiyatlari,870918833",Lenovo ThinkPad E14 G2 20TA0053TX İ7-1165G7 8 GB 256 GB SSD MX450 Windows 10 Home 14 inç Full HD Laptop - Notebook,20964.46,23220,3200 MHz,Yok,2 GB,NVIDIA GeForce MX450
15.6 İnç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.78 kg,32 GB,Intel Core i7-1255U,4.70 GHz,10 Çekirdek,Intel,3.50 GHz,12 MB,DDR4,2 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-15-dw4000nta7-71v44eaa7-intel-core-i7-1255u-32gb-2tb-ssd-mx550-freedos-15-6-tasinabilir-bilgisayar-fiyatlari,2107490067","HP 15-DW4000NTA7 71V44EAA7 Intel Core I7 1255U 32GB 2TB SSD MX550 Freedos 15.6"" Taşınabilir Bilgisayar",21609.48,22119,3200 MHz,,2 GB,NVIDIA GeForce MX550
15.6 inç,Linux,1920x1080 Piksel,LED (WVA),Full HD,2.65 kg,8 GB,Intel Core i7-11800H,4.60 GHz,8 Çekirdek,Intel,,24 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-g5tglh1700u-g15-5511-i7-11800h-8-gb-ram-512-gb-ssd-4-gb-rtx3050-15-6-inc-fhd-120-hz-dizustu-bilgisayar-fiyatlari,2068589894",Dell G5tglh1700u G15 5511 İ7-11800h 8 Gb Ram 512 Gb Ssd 4 Gb Rtx3050 15.6 İnç Fhd 120 Hz Dizüstü Bilgisayar,24999.0,25399,,,4 GB,NVIDIA GeForce RTX 3050
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.78 kg,16 GB,Intel Core i7-1255U,4.70 GHz,10 Çekirdek,Intel,3.50 GHz,12 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-15-dw4000nta28-71v44eaa28-intel-core-i7-1255u-16gb-1tb-ssd-mx550-windows-11-pro-15-6-tasinabilir-bilgisayar-fiyatlari,2107490076","HP 15-DW4000NTA28 71V44EAA28 Intel Core I7 1255U 16GB 1TB SSD MX550 Windows 11 Pro 15.6"" Taşınabilir Bilgisayar",20054.69,20528,3200 MHz,,2 GB,NVIDIA GeForce MX550
14 İnç,Windows 10,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,12 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g3-20y7004etx067-r7-5700u-12-gb-1-tb-ssd-256-gb-windows-10-pro-14-inc-full-hd-laptop-notebook-fiyatlari,955809907",Lenovo ThinkPad E14 G3 20Y7004ETX067 R7-5700U 12 GB 1 TB SSD 256 GB Windows 10 Pro 14 inç Full HD Laptop - Notebook,21642.07,23078,3200 MHz,Yok,Yok,Yok
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.7 kg,40 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ve00fqtx059-thinkbook-15-g2-intel-core-i5-1135g7-40-gb-ram-512-gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2074630185","Lenovo 20VE00FQTX059 Thinkbook 15 G2 Intel Core i5-1135G7 40 GB Ram 512 GB SSD Windows 11 Home 15.6"" Fhd Taşınabilir Bilgisayar",21080.51,21728,3200 MHz,Yok,Yok,Yok
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,8 GB,i7-1165G7,2.80 GHz,4 Çekirdek,Intel,1.20 GHz,12 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e15-g2-20tes294tx026-i7-1165g7-8-gb-1-tb-ssd-mx450-windows-10-pro-15-6-inc-full-hd-laptop-notebook-fiyatlari,969721019",Lenovo ThinkPad E15 G2 20TES294TX026 i7-1165G7 8 GB 1 TB SSD MX450 Windows 10 Pro 15.6 inç Full HD Laptop - Notebook,22801.94,24438,,Yok,2 GB,MX450
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.7 kg,40 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ve00fqtx064-thinkbook-15-g2-intel-core-i5-1135g7-40-gb-ram-1-tb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2074629849","Lenovo 20VE00FQTX064 Thinkbook 15 G2 Intel Core i5-1135G7 40 GB Ram 1 TB SSD Windows 11 Home 15.6"" Fhd Taşınabilir Bilgisayar",22108.82,22788,3200 MHz,Yok,Yok,Yok
14 İnç,Windows 10 Home,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,8 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,4.70 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ta0050tx023-thinkpad-e14-gen-2-intel-core-i7-1165g7-8-gb-ram-1-tb-512-gb-ssd-windows-10-home-14-tasinabilir-bilgisayar-fiyatlari,897094153","Lenovo 20TA0050TX023 ThinkPad E14 Gen 2 Intel Core i7-1165G7 8 GB Ram 1 TB + 512 GB SSD Windows 10 Home 14"" Taşınabilir Bilgisayar",24193.57,25713,,1 TB,,
14 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,32 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,1 TB-256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ta0050tx013-thinkpad-e14-gen-2-intel-core-i7-1165g7-32-gb-ram-1-tb-256-gb-ssd-freedos-14-tasinabilir-bilgisayar-fiyatlari,897097779","Lenovo 20TA0050TX013 ThinkPad E14 Gen 2 Intel Core i7-1165G7 32 GB Ram 1 TB + 256 GB SSD Freedos 14"" Taşınabilir Bilgisayar",24073.02,25483,3200 MHz,,,
14 İnç,Windows 10,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g3-20y7004etx040-r7-5700u-8-gb-1-tb-ssd-256-gb-windows-10-home-14-inc-full-hd-laptop-notebook-fiyatlari,955757896",Lenovo ThinkPad E14 G3 20Y7004ETX040 R7-5700U 8 GB 1 TB SSD 256 GB Windows 10 Home 14 inç Full HD Laptop - Notebook,20698.33,22028,3200 MHz,Yok,Yok,Yok
14 İnç,Windows 10,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,40 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g3-20y7004etx048-r7-5700u-40-gb-1-tb-ssd-256-gb-windows-10-home-14-inc-full-hd-laptop-notebook-fiyatlari,955776366",Lenovo ThinkPad E14 G3 20Y7004ETX048 R7-5700U 40 GB 1 TB SSD 256 GB Windows 10 Home 14 inç Full HD Laptop - Notebook,23529.56,25161,3200 MHz,Yok,Yok,Yok
14 İnç,Windows 10,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,24 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g3-20y7004etx071-r7-5700u-24-gb-1-tb-ssd-256-gb-windows-10-pro-14-inc-full-hd-laptop-notebook-fiyatlari,955809932",Lenovo ThinkPad E14 G3 20Y7004ETX071 R7-5700U 24 GB 1 TB SSD 256 GB Windows 10 Pro 14 inç Full HD Laptop - Notebook,22703.79,24260,3200 MHz,Yok,Yok,Yok
15.6 inç,DOS,1920x1080 Piksel,LED (lPS),Full HD,2.30 kg,4 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-latitude-3520-n015l352019emeau10-intel-core-i5-1135g7-64gb-ram-512gb-ssd-15-6-inc-monitor-freedos-dizustu-bilgisayar-fiyatlari,938016256",Dell Latitude 3520 N015L352019EMEA_U10 Intel Core i5 1135G7 64GB Ram 512GB SSD 15.6 inç Monitör Freedos Dizüstü Bilgisayar,22499.0,23466,3200 MHz,Yok,Yok,Yok
14 inç,Windows,1920x1080 Piksel,,Full HD,,8 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-336h5ea-elitebook-840-g8-intel-core-i7-1165g7-8-gb-ram-256-gb-ssd-windows-10-pro-14-tasinabilir-bilgisayar-fiyatlari,1767840596","HP 336H5EA EliteBook 840 G8 Intel Core i7-1165G7 8 GB Ram 256 GB SSD Windows 10 Pro 14"" Taşınabilir Bilgisayar",21210.7,21980,,Yok,Yok,Yok
14 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.32 kg,32 GB,Intel Core i7-1165G7,4.70 GHz,4 Çekirdek,Intel,2.80 GHz,12 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-336h5ea06-elitebook-840-g8-intel-core-i7-1165g7-32-gb-512-gb-ssd-14-inc-windows-10-pro-touch-dizustu-bilgisayar-fiyatlari,2072346077",HP 336H5EA06 EliteBook 840 G8 Intel Core i7-1165G7 32 GB 512 GB SSD 14 inç Windows 10 Pro Touch Dizüstü Bilgisayar,24099.0,25057,3200 MHz,Yok,Yok,Yok
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.7 kg,40 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-20ve00fqtx089-thinkbook-15-g2-intel-core-i5-1135g7-40-gb-ram-500-gb-ssd-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2074630187","Lenovo 20VE00FQTX089 Thinkbook 15 G2 Intel Core i5-1135G7 40 GB Ram 500 GB SSD Windows 11 Pro 15.6"" Fhd Taşınabilir Bilgisayar",20988.11,22390,3200 MHz,Yok,Yok,Yok
14 İnç,Windows 10,1920x1080 Piksel,LED (IPS),Full HD,1.64 kg,40 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-thinkpad-e14-g3-20y7004etx049-r7-5700u-40-gb-1-tb-ssd-512-gb-windows-10-home-14-inc-full-hd-laptop-notebook-fiyatlari,955776384",Lenovo ThinkPad E14 G3 20Y7004ETX049 R7-5700U 40 GB 1 TB SSD 512 GB Windows 10 Home 14 inç Full HD Laptop - Notebook,24119.4,25785,3200 MHz,Yok,Yok,Yok
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.74 kg,16 GB,Intel Core i5-1235U,4.40 GHz,10 Çekirdek,Intel,3.30 GHz,12 MB,DDR4,512 GB+1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-probook-450-g9-6f1f3ea05-i5-1235u-16gb-512ssd1tbssd-15-6-fullhd-w10p-tasinabilir-bilgisayar-fiyatlari,2086662583",HP ProBook 450 G9 6F1F3EA05 i5-1235U 16GB 512SSD+1TBSSD 15.6'' FullHD W10P Taşınabilir Bilgisayar,21299.0,21739,3200 MHz,Yok,Yok,Yok
14 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.44 kg,32 GB,Intel Core i5-11320H,4.50 GHz,4 Çekirdek,Intel,3.20 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-vostro-5410-n3002cvn5410u09-i5-11320h-32-gb-512-ssd-mx450-14-fullhd-w10p-tasinabilir-bilgisayar-fiyatlari,2086126292",Dell Vostro 5410 N3002CVN5410U09 i5-11320H 32 GB 512 SSD MX450 14'' FullHD W10P Taşınabilir Bilgisayar,22149.0,23008,3200 MHz,Yok,2 GB,NVIDIA GeForce MX450
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.74 kg,32 GB,Intel Core i5-1235U,4.40 GHz,10 Çekirdek,Intel,3.30 GHz,12 MB,DDR4,512 GB+1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-probook-450-g9-6f1f3ea08-i5-1235u-32-gb-ram-512-gb-ssd-1-tb-ssd-15-6-fullhd-w10p-tasinabilir-bilgisayar-fiyatlari,2076667165",HP ProBook 450 G9 6F1F3EA08 i5-1235U 32 GB Ram 512 GB SSD + 1 TB SSD 15.6'' FullHD W10P Taşınabilir Bilgisayar,21899.0,22512,3200 MHz,Yok,Yok,Yok
